PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
58,NA,45,NA,8,26,7
NA,NA,NA,NA,NA,28,23
NA,81,54,NA,13,94,NA
45,64,35,2,15,64,11
34,54,22,5,14,64,41
38,68,48,3,NA,91,27
54,NA,37,5,3,63,NA
NA,46,12,NA,4,46,NA
NA,NA,NA,NA,NA,57,27
NA,NA,NA,NA,NA,42,34
56,85,36,1,3,18,1
46,36,10,3,6,22,35
31,43,16,2,33,38,17
97,73,14,1,18,51,56
20,NA,NA,NA,7,31,24
57,NA,46,NA,8,24,7
NA,NA,NA,NA,NA,28,23
NA,79,55,NA,13,94,NA
44,64,35,2,15,62,12
32,53,22,5,14,63,40
37,67,48,3,NA,86,27
54,NA,37,5,3,64,NA
NA,46,12,NA,4,46,NA
NA,NA,NA,NA,NA,57,27
NA,NA,NA,NA,NA,42,33
54,84,36,1,3,18,1
44,35,8,3,6,24,32
27,41,16,2,33,38,16
95,72,14,1,18,52,55
20,NA,NA,NA,6,29,20
54,NA,48,NA,8,29,7
32,56,50,1,11,39,31
NA,76,56,NA,13,93,NA
42,61,36,2,17,44,16
25,49,23,5,14,61,43
44,69,49,3,NA,75,27
53,NA,37,5,4,53,NA
NA,43,12,NA,6,44,NA
38,62,22,2,4,49,28
20,35,13,2,16,43,32
35,75,34,1,3,20,1
27,22,4,2,6,17,32
19,41,20,2,34,39,14
70,60,11,1,19,43,33
20,NA,NA,NA,6,31,22
54,NA,49,NA,8,28,7
31,55,49,1,11,38,39
NA,76,56,NA,13,95,NA
42,61,35,2,18,44,19
24,48,23,5,14,60,46
44,69,49,3,NA,79,28
53,NA,37,5,4,54,NA
NA,43,12,NA,6,45,NA
38,62,22,2,4,47,30
20,36,13,2,15,43,36
34,72,34,1,3,21,1
26,21,4,2,6,17,36
19,41,20,2,33,37,16
70,60,11,1,20,46,35
27,112,11,5,NA,29,62
70,68,33,4,11,44,37
36,103,9,5,NA,37,73
32,38,20,3,11,38,59
27,110,9,5,20,55,47
75,77,30,4,11,50,46
25,107,9,5,33,38,70
70,76,31,4,11,45,57
22,103,9,5,37,18,64
64,74,34,3,12,62,40
9,102,9,5,38,19,54
61,72,36,3,12,66,35
17,103,9,5,37,58,39
56,62,36,3,12,43,39
19,103,9,5,36,54,48
